Index,GP_1,GP_2,RE_m_1,RE_m_2,R2_1,R2_2,MRE_1,MRE_2,RGR_1,RGR_2,CLR_1,CLR_2
1,1.2936907425480426,3.314366321693275,50.79738532804995,30.84913162006953,0.9913339999999998,0.9944639999999998,3.546852,4.979024000000001,89.269892,37.522474,97.09418199999998,84.73642199999999
2,4.624904003898019,6.222671985122079,372.4283895415967,37.71114543999818,0.9862959999999998,0.9937919999999999,5.152492,6.152048000000001,13.890426000000001,11.563253999999999,69.396142,39.686444
3,1.6329665072621773,7.854639825760161,75.5571062415086,453.2165858400969,0.97299,0.9561980000000001,74.37104400000001,12.65461,91.24045,50.394414000000005,94.97599599999998,87.24118
4,2.3799277877257667,5.775926897881415,226.06773363425305,30.38975886994654,0.986202,0.98701,4.96179,9.331935999999999,39.506237999999996,9.906816000000001,96.982562,40.221036
5,2.3853897053009003,4.6430867734424295,141.2022007419043,31.657768056317348,0.9877999999999999,0.9941899999999998,4.485914,5.430880000000001,38.10111799999999,13.097301999999999,96.966584,66.39560399999999
6,1.9532060006835426,5.1120934274361645,105.57643324810917,33.33202764308074,0.988808,0.9891759999999999,4.26865,7.615415999999999,57.27059199999999,13.882483999999998,97.40812400000002,55.511322
7,2.3852666103915325,4.647552593345622,141.08459544450685,31.723113805488488,0.9878459999999998,0.9942519999999999,4.48561,5.4292240000000005,38.161725999999994,13.095798,96.952808,66.29878599999999
8,4.630033600839473,6.2310668378434375,375.8721647851992,37.73260889065232,0.986408,0.99401,5.157012,6.100682,13.888065999999998,11.543024,68.77786,39.823686
9,2.446437567415356,4.837065641057267,139.30826132070007,29.591124486582263,0.986448,0.9938779999999999,4.71753,5.614478,35.638894,12.797306,96.64828999999997,60.71319199999999
10,1.9535254990577258,5.082207592127661,105.50041542084028,33.365732545552525,0.9888299999999999,0.9892099999999999,4.256866,7.634392,57.314032,14.15875,97.40524799999999,56.136082
11,2.446655410642278,4.83375918527685,139.34459369434109,29.56929013230364,0.9864539999999999,0.993894,4.7159379999999995,5.611454,35.63811,12.802504,96.63459199999998,60.817166
12,1.4403156567439042,5.374296363255403,265.30653586981913,42.06554322353866,0.9836419999999998,0.969406,3.526506,6.244976,90.657626,49.58364,95.332204,83.939256
13,2.3803460694233136,5.908687113245809,275.12576960056026,32.14226087116468,0.9875360000000001,0.987356,4.83939,9.456578000000002,39.41432400000001,7.985828,97.113194,36.524817999999996
14,2.697288480089063,4.990434442632328,988.1761939334481,30.467365429198477,0.9877279999999998,0.9923019999999999,4.649308000000001,6.78419,38.367342,11.471455999999998,97.23652,58.569696
15,2.327436441705553,5.932193626400971,172.23968156203145,32.40143912683221,0.9870019999999999,0.9868779999999999,4.8133099999999995,9.524162,40.985850000000006,8.19062,97.19784400000002,34.869164000000005
16,2.4040517024553796,5.078511570044602,173.5630787133765,30.253839110138212,0.9879439999999999,0.9920659999999999,4.551016,7.0186779999999995,37.531665999999994,10.952858,97.191324,57.390162
17,2.404387909723113,4.7737744119104155,143.00785358570425,32.5049963129124,0.9877579999999998,0.9941299999999998,4.489502000000001,5.49617,38.054444,12.884836,96.937316,62.660666
18,2.3324103294559992,5.155647966296891,140.4876847904108,30.79482895730564,0.9881039999999998,0.991964,4.49832,6.893774000000001,40.270543999999994,11.017239999999997,97.299684,53.905236
19,2.266500263863134,5.943599510749365,184.29593820593908,36.5450101352505,0.9868580000000001,0.986808,4.885262000000001,9.6563,42.933026000000005,7.881384,97.36534000000002,35.208184
20,2.338818040825161,5.020909923814581,140.54392199003044,30.153947203209718,0.9880819999999999,0.992154,4.494852000000001,6.624495999999999,40.000536,11.433454000000001,97.299768,57.846038
21,1.9173309771923828,5.317748453545888,104.61415587176045,34.95443862077239,0.989474,0.987518,4.17093,7.7048,58.884468,13.864063999999999,97.669344,54.820146
22,2.376269648503323,5.037563029583409,184.00329680772373,30.175485440707774,0.987692,0.992144,4.5982520000000005,6.888274,38.339789999999994,11.094292,97.26422600000001,58.559078
23,2.405973571144867,4.773610596407477,143.0859718684129,32.47820909196042,0.9877219999999999,0.9940739999999999,4.488574,5.497842,38.047833999999995,12.88476,96.967068,62.705451999999994
24,2.3327612745368946,5.000958659460873,139.11152584656077,30.18673592185725,0.98808,0.9926579999999999,4.483882,6.53026,40.452324000000004,11.450458000000001,97.31409599999999,58.24461600000001
25,2.365866038893417,4.636739501986667,142.1956272820599,31.65334066756238,0.9876259999999998,0.9942479999999999,4.53067,5.467703999999999,38.458156,13.115086,96.979848,66.63447599999999
26,4.6252084286043145,6.221926787484336,374.2901786627192,37.73981657265841,0.98632,0.9937459999999999,5.1451839999999995,6.142582,13.89082,11.564507999999998,69.40275,39.690926
27,2.4470727762047932,4.834074454183284,139.35619112577774,29.5194338246455,0.9863119999999999,0.993832,4.724968,5.615334,35.66787,12.802188000000003,96.622624,60.76561
28,2.3327280801888715,5.00831561438164,139.1154084104259,30.175323318386244,0.988116,0.992414,4.481206,6.563612,40.444294,11.435582000000002,97.29363200000002,58.18582200000001
29,2.450486528510809,4.775402477959746,139.61655352023183,29.04626033754435,0.9862819999999999,0.9938199999999998,4.727174,5.593476000000001,35.28895,12.906808000000002,96.635872,62.417784000000005
30,2.4264429007924115,4.738993879049732,138.54144846507293,32.45521321410234,0.9874659999999998,0.9939739999999999,4.564402,5.513952000000001,36.680122,12.953722,96.99759599999999,63.34734599999999
31,2.298890532489634,5.9900539151676115,172.2913207250322,34.002280869335834,0.987854,0.9868299999999999,4.736972,9.605838,40.241072,8.067222000000001,97.308464,33.454312
32,2.3338001284929226,5.010101303981229,139.39883188352198,30.26191189004814,0.988108,0.9926179999999999,4.484882,6.601814,40.369288,11.347335999999999,97.297092,58.019422
33,1.95056498174006,5.425839961970649,103.55964279133765,33.220311674168315,0.989838,0.9879379999999999,4.14453,8.045904,56.807624,13.495238,97.637672,49.237868
34,2.336283437629734,5.017382518189189,139.950504150983,30.185811172351322,0.9881039999999998,0.992386,4.489282,6.611958,40.165350000000004,11.398908,97.29323600000001,57.991108
35,2.450486528510809,4.776480174222844,139.61655352023183,29.050367626147036,0.9862819999999999,0.9938199999999998,4.727174,5.59472,35.28895,12.90507,96.635872,62.39015400000001
36,2.4291359973311235,4.745078368244148,138.79588889611247,32.35263342343184,0.9872579999999999,0.9939859999999999,4.64286,5.5314879999999995,36.355534,12.942452000000001,96.990734,62.879578
37,1.9434691717385255,5.285199955463174,104.45539242946045,32.48279061836206,0.9897919999999999,0.9882879999999998,4.1395420000000005,7.941248000000001,57.404398,13.306342,97.646196,50.469424
38,2.426302857613035,4.734509009563128,138.75810874013806,32.43840133066262,0.9874839999999999,0.9939819999999999,4.559906,5.506530000000001,36.622898,12.954023999999999,97.01836999999999,63.490906
39,1.7140499879770634,4.5139610718004795,361.6546580912159,35.98762007067639,0.9863079999999999,0.978622,3.5878179999999995,5.347808,90.336784,53.286898,95.13932999999999,86.74798000000001
